t,pwm,V,i,theta_m,omega_m,theta_l,omega_l,enc_m,enc_o,temp
0.0181340076885916,0.10290868480329,0.298808932216831,0.13993313598194,5.92124910167164e-06,0.0150806197476375,7.81144908908174e-08,0.000187070416771543,0,0,25.1807931091291
0.0182680153771833,0.103670150934248,0.308741099142367,0.144792093655822,8.38802827493367e-06,0.0217348674708485,1.09375959410077e-07,0.000279491895403318,0,0,25.1821250803769
0.0184436510314416,0.104668140634052,0.321758356096331,0.151111740984119,1.31481264040071e-05,0.032469367417264,1.72156463474325e-07,0.000435402860212773,0,0,25.1838707232669
0.0186192866857,0.105666109600395,0.334775342613852,0.157375624203483,1.99889470618983e-05,0.0454284909279305,2.65873098452067e-07,0.000631768100871141,0,0,25.1856162639609
0.0188699921328023,0.107090589729886,0.3533555182159,0.166220656298707,3.41731737171231e-05,0.0677260242145916,4.68901141550658e-07,0.000987885922966223,0,0,25.1881077026581
0.019,0.107829260892282,0.362990359464553,0.170763218806611,4.38424483166382e-05,0.0810230447138001,6.11787378657402e-07,0.00121023085545018,0,0,25.1893996015099
0.0192074058119376,0.109007658849185,0.378360767598066,0.177948350512327,6.31003323176274e-05,0.104679408087146,9.05524661215114e-07,0.00162225758654323,0,0,25.1914604941956
0.0194148116238751,0.110186020080587,0.39373069670331,0.185057506094597,8.75808583793525e-05,0.131384623417371,1.29208329688886e-06,0.00210530078863,0,0,25.1935212444058
0.0198124512639445,0.112445070690379,0.423196574222333,0.198472562124945,0.000151721792183005,0.191223725149006,2.35143594271375e-06,0.00322290364108984,0,0,25.1974717284166
0.02,0.113510509427235,0.437093601224801,0.204700833559811,0.000190609212869734,0.223467639928723,3.01322685795744e-06,0.00383436508982671,0,0,25.199334812349
0.0204229790800667,0.115913258726731,0.468433809479106,0.218510121916835,0.00030252022843006,0.305688627292201,4.96721706342476e-06,0.00540481621984487,0,0,25.2035362021408
0.0208459581601335,0.118315803416357,0.499771348908998,0.231990643058099,0.000451972306347575,0.400975531577953,7.64103140689786e-06,0.00723795723860255,0,0,25.2077369996078
0.021,0.119190715263649,0.511183242569333,0.236818898774589,0.000516657114684609,0.438858741929556,8.81234369782525e-06,0.00796975894996376,0,0,25.2092667120029
0.0214030245092927,0.121479628544492,0.541038633189029,0.249251148639659,0.000715083820625035,0.54582929249633,1.24420383467595e-05,0.0100425185430584,0,0,25.2132685750771
0.0218060490185853,0.123768317983895,0.570891104137759,0.261398129797004,0.000958879879289977,0.664003127337497,1.69525367400198e-05,0.0123407275834685,0,0,25.217269900571
0.022,0.124869639455356,0.585256166808997,0.267144253175047,0.00109355134615511,0.72471340178601,1.94608649094216e-05,0.0135248612483721,0.00153398078788564,-0.00038349519697141,25.2191953015754
0.0224194398189383,0.127251167360143,0.616319574262735,0.279357006505801,0.00142682313736377,0.864414650253677,2.57060992373798e-05,0.0162540679137001,0.00153398078788564,-0.00038349519697141,25.223358762292
0.0228388796378766,0.129632409920438,0.6473792598318,0.291280621960353,0.00182108021316943,1.01550736956606,3.31440117955541e-05,0.0192118665176149,0.00153398078788564,-0.00038349519697141,25.2275216409421
0.023,0.130547042383011,0.659309248474057,0.295784988980819,0.00198961332286154,1.07650766157,3.63357854678455e-05,0.0204078765145798,0.00153398078788564,0,25.2291205821696
0.0235,0.133385098309975,0.696327369260542,0.309500338774811,0.00257778963601414,1.27619759104039,4.75195768635498e-05,0.0243272890682374,0.00306796157577128,0,25.2340819819444
0.024,0.136222683763337,0.733339353434826,0.322819961268022,0.00326972402410514,1.49153996132363,6.07414319069915e-05,0.0285601311055294,0.00306796157577128,0,25.2390425548882
0.0245,0.139059768605479,0.770344807897548,0.335746779794627,0.00407320923483793,1.72240088160753,7.61574673026899e-05,0.0331040104772641,0.00460194236365692,0,25.2440023011387
0.025,0.141896322658458,0.807343339023371,0.348284185060917,0.00499596626817079,1.96862725172391,9.39224629747621e-05,0.0379559722110248,0.00460194236365692,0,25.2489612208337
0.0255,0.144732315704305,0.844334552664842,0.360436592415046,0.00604562387824228,2.23000318856203,0.000114189447910619,0.0431119675324042,0.00613592315154256,0,25.253919314111
0.026,0.147567717485314,0.881318054156275,0.372209262863623,0.00722970165499416,2.50630791844549,0.000137109318618042,0.0485675152972856,0.00766990393942821,0,25.2588765811083
0.0265,0.150402497704353,0.918293448317643,0.383607956284563,0.0085556000415838,2.79728562791304,0.000162830629230609,0.0543177271529824,0.00920388472731385,0,25.2638330219632
0.027,0.153236626025151,0.955260339458487,0.394638763482972,0.0100305937107114,3.10268904859729,0.000191499446187454,0.0603575406743971,0.0107378655151995,0.00038349519697141,25.2687886368135
0.0275,0.156070072072608,0.992218331381848,0.405308002325499,0.011661827018306,3.42224418178139,0.000223259255024696,0.0666816946745718,0.0122718463030851,0.00038349519697141,25.2737434257968
0.028,0.158902805433096,1.02916702738821,0.415622387290567,0.0134563060662421,3.75567200996281,0.000258250825307092,0.0732845864550131,0.0138058270909708,0,25.2786973890508
0.0285,0.161734795654759,1.06610603027947,0.425589289945931,0.0154208855555492,4.1026459472655,0.000296611973859188,0.0801600077533695,0.0153398078788564,0,25.283650526713
0.029,0.164566012247822,1.10303494236289,0.435217177565671,0.0175622468673185,4.46279929981198,0.000338477170999919,0.087300780809554,0.0184077694546277,0.00038349519697141,25.2886028389211
0.0295,0.167396424684893,1.13995336545513,0.444516013865029,0.0198868681289568,4.83568574674095,0.000383976974412446,0.0946984328405535,0.0199417502425133,0.00038349519697141,25.2935543258125
0.03,0.170226002401277,1.17686090088622,0.453497651847086,0.0224009864235424,5.22078743160157,0.000433237307850042,0.102342900909832,0.021475731030399,0.00038349519697141,25.298504987525
